index,Supplement,Oil_retention,Water_retention,Bulk_density,Tapped_density,L,a,b,C,h,Curcumin_binding_capacity,Particle_size,Specific_surface_area,Biscuit_hardness,Custard_viscosity,Custard_firmness,Custard_stickiness,Cellulose,Hemicellulose,Dextrine,Pectin,Lignin,Fructans,Insoluble_fibre,Soluble_fibre,Protein,Carbs,Fat,Water,Ash,type,bioaccessibility
51,Ceamfibre 7000,4.2,4.032933333,0.2097,0.303030303,60.38666667,18.35333333,37.00666667,41.30666667,63.62,460,262.432,0.0314,3039,25000,354.3333333,-151.5,0.024056604,0.009056604,0,0.000849057,0.003396226,0,0.048962264,0.000849057,0.078528302,0.481132075,0.096528302,0.296716981,0.005283019,1,52.58738561
52,Ceamfibre 7000,4.2,4.032933333,0.2097,0.303030303,60.38666667,18.35333333,37.00666667,41.30666667,63.62,460,262.432,0.0314,3039,25000,354.3333333,-151.5,0.024056604,0.009056604,0,0.000849057,0.003396226,0,0.048962264,0.000849057,0.078528302,0.481132075,0.096528302,0.296716981,0.005283019,1,49.55883121
53,Ceamfibre 7000,4.2,4.032933333,0.2097,0.303030303,60.38666667,18.35333333,37.00666667,41.30666667,63.62,460,262.432,0.0314,3039,25000,354.3333333,-151.5,0.024056604,0.009056604,0,0.000849057,0.003396226,0,0.048962264,0.000849057,0.078528302,0.481132075,0.096528302,0.296716981,0.005283019,1,48.23684216
54,Vitacel WF200,6.3,8.2317,0.119266667,0.23255814,89.27,5.353333333,16.15666667,17.06666667,71.67,220,104.9256667,0.130333333,3027.5,17963,249.1666667,-134.5,0.042169811,0.013584906,0,0,0,0,0.055754717,0,0.06909434,0.481509434,0.094264151,0.298226415,0.016603774,1,57.77767407
55,Vitacel WF200,6.3,8.2317,0.119266667,0.23255814,89.27,5.353333333,16.15666667,17.06666667,71.67,220,104.9256667,0.130333333,3027.5,17963,249.1666667,-134.5,0.042169811,0.013584906,0,0,0,0,0.055754717,0,0.06909434,0.481509434,0.094264151,0.298226415,0.016603774,1,47.25784111
56,Vitacel WF200,6.3,8.2317,0.119266667,0.23255814,89.27,5.353333333,16.15666667,17.06666667,71.67,220,104.9256667,0.130333333,3027.5,17963,249.1666667,-134.5,0.042169811,0.013584906,0,0,0,0,0.055754717,0,0.06909434,0.481509434,0.094264151,0.298226415,0.016603774,1,53.75162266
57,Vitacel WF200,6.3,8.2317,0.119266667,0.23255814,89.27,5.353333333,16.15666667,17.06666667,71.67,220,104.9256667,0.130333333,3027.5,17963,249.1666667,-134.5,0.042169811,0.013584906,0,0,0,0,0.055754717,0,0.06909434,0.481509434,0.094264151,0.298226415,0.016603774,1,55.94633076
58,Vitacel WF200,6.3,8.2317,0.119266667,0.23255814,89.27,5.353333333,16.15666667,17.06666667,71.67,220,104.9256667,0.130333333,3027.5,17963,249.1666667,-134.5,0.042169811,0.013584906,0,0,0,0,0.055754717,0,0.06909434,0.481509434,0.094264151,0.298226415,0.016603774,1,51.81225774
59,Vitacel WF200,6.3,8.2317,0.119266667,0.23255814,89.27,5.353333333,16.15666667,17.06666667,71.67,220,104.9256667,0.130333333,3027.5,17963,249.1666667,-134.5,0.042169811,0.013584906,0,0,0,0,0.055754717,0,0.06909434,0.481509434,0.094264151,0.298226415,0.016603774,1,52.9851825
60,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,46.3709786
61,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,46.87925616
